title,number,date,tweets
makeinindia,1.08803429883654E+018,2019-01-23 11:22:46,"b""Now pay no incorporation fee for 'Starting a New Business' as company with authorized capital up to INR 10 Lakhs. E\xe2\x80\xa6 https://t.co/NHjN42IH8u"""
makeinindia,1.08770561400293E+018,2019-01-22 13:36:41,"b""Invest India and PayPal co-hosted a roundtable on 'Developing an Export Economy for MSMEs in India'. The roundtable\xe2\x80\xa6 https://t.co/Unk7yFyf5I"""
makeinindia,1.08770527575326E+018,2019-01-22 13:35:20,"b""Shri Ramesh Abhishek, Secy., @DIPPGOI met @ProcterGamble's Ms. Selina Jackson to discuss P&amp;G's growth and investmen\xe2\x80\xa6 https://t.co/FyhjLUWt6z"""
makeinindia,1.08770480216184E+018,2019-01-22 13:33:28,"b'Shri Ramesh Abhishek, Secy., @DIPPGOI at the PACI Public Session. The agenda for the session was how business, gove\xe2\x80\xa6 https://t.co/k7rGLFLMnS'"
makeinindia,1.08762920230668E+018,2019-01-22 08:33:03,"b""RT @PIB_India: Today we are moving towards becoming the world's largest Startup Ecosystem: PM @narendramodi \n\n#PBD2019 #PravasiBharatiyaDiv\xe2\x80\xa6"""
makeinindia,1.08762917642782E+018,2019-01-22 08:32:57,"b'RT @PIB_India: Whatever country you live in, motivate at least 5 families around you to come to India. Your efforts will play an important\xe2\x80\xa6'"
makeinindia,1.08762916118992E+018,2019-01-22 08:32:53,"b'RT @PIB_India: PM @narendramodi at the inauguration of the 15th #PravasiBharatiyaDivas Convention 2019 in #Varanasi, Uttar Pradesh https://\xe2\x80\xa6'"
makeinindia,1.08761097182308E+018,2019-01-22 07:20:37,b'RT @narendramodi: Looking forward to being in beloved Kashi today for the Pravasi Bharatiya Divas. This is an excellent forum to engage wit\xe2\x80\xa6'
makeinindia,1.08761094067203E+018,2019-01-22 07:20:29,b'RT @PBDConvention: Be part of the story. \nWitness the inauguration of the 15th #PravasiBharatiyaDivas Convention by PM @narendramodi and PM\xe2\x80\xa6'
makeinindia,1.08761091842965E+018,2019-01-22 07:20:24,b'RT @PBDConvention: The stage is set and the people are ready.\nPM @narendramodi alongwith other dignitaries to arrive shortly for the inaugu\xe2\x80\xa6'
makeinindia,1.08761087149958E+018,2019-01-22 07:20:13,b'RT @PBDConvention: Varanasi is abuzz!\nThe stadium is filling up quickly before the inauguration of #PBD2019 gets underway! https://t.co/sxZ\xe2\x80\xa6'
makeinindia,1.08761084119144E+018,2019-01-22 07:20:06,b'RT @PBDConvention: Atmosphere at #PBD2019! \n\nWe are moments from the inauguration of 15th #PravasiBharatiyaDivas https://t.co/fLJM8pkV6c'
makeinindia,1.0876107776268E+018,2019-01-22 07:19:50,b'RT @PBDConvention: Some scenes straight from the venue! \n#PBD2019 #PravasiAtVaranasi #PravasiBharatiyaDivas https://t.co/VgpppVNAyq'
makeinindia,1.08761076096705E+018,2019-01-22 07:19:46,"b""RT @PBDConvention: Organising the biggest #PravasiBharatiyaDivas so far! \nHere's Dnyaneshwar Mulay, Secretary @CPVIndia giving an insight i\xe2\x80\xa6"""
makeinindia,1.08761075160952E+018,2019-01-22 07:19:44,b'RT @PBDConvention: While we wait for the programme to begin! #PBD2019 #PravasiAtVaranasi https://t.co/Bc6tV3otSn'
makeinindia,1.08761071598728E+018,2019-01-22 07:19:36,"b'RT @PBDConvention: Scintillating atmosphere here at #PBD2019 as the PM @narendramodi &amp; Chief Guest Pravind Jugnauth, PM of Mauritius arrive\xe2\x80\xa6'"
makeinindia,1.08761070766996E+018,2019-01-22 07:19:34,b'RT @PBDConvention: Taking the engagement with diaspora to another level! \n\nEAM @SushmaSwaraj takes the stage to deliver her welcome address\xe2\x80\xa6'
makeinindia,1.08761066937597E+018,2019-01-22 07:19:25,b'RT @PBDConvention: A song in praise of the Pravasis!\nArtists from @AkashvaniAIR render the theme song #PBD2019 which marked the opening of\xe2\x80\xa6'
makeinindia,1.08761064720072E+018,2019-01-22 07:19:19,b'RT @PBDConvention: A gracious host!\nCM of Uttar Pradesh @myogiadityanath delivers his address at the 15th #PravasiBharatiyaDivas https://t.\xe2\x80\xa6'
makeinindia,1.08761063609839E+018,2019-01-22 07:19:17,"b'RT @PBDConvention: Chief Guest for the 15th #PravasiBharatiyaDivas, PM of Mauritius Pravind Jugnauth, delivers the  Keynote Address at the\xe2\x80\xa6'"
makeinindia,1.08761057520141E+018,2019-01-22 07:19:02,b'RT @upeidaofficial: #Upeida team at stall at #PravasiBharatiyaDivas Varanasi\n#PBD2019 \n#PBD \n#PravasiAtVaranasi \n#PravasiBharatiyaDivas2019\xe2\x80\xa6'
makeinindia,1.08761056541598E+018,2019-01-22 07:19:00,b'RT @PBDConvention: \xe0\xa4\xa8\xe0\xa4\xaf\xe0\xa5\x87 \xe0\xa4\xad\xe0\xa4\xbe\xe0\xa4\xb0\xe0\xa4\xa4 \xe0\xa4\x95\xe0\xa5\x87 \xe0\xa4\xa8\xe0\xa4\xbf\xe0\xa4\xb0\xe0\xa5\x8d\xe0\xa4\xae\xe0\xa4\xbe\xe0\xa4\xa3 \xe0\xa4\xae\xe0\xa5\x87\xe0\xa4\x82 \xe0\xa4\xaa\xe0\xa5\x8d\xe0\xa4\xb0\xe0\xa4\xb5\xe0\xa4\xbe\xe0\xa4\xb8\xe0\xa5\x80 \xe0\xa4\xad\xe0\xa4\xb0\xe0\xa4\xa4\xe0\xa5\x80\xe0\xa4\xaf\xe0\xa5\x8b\xe0\xa4\x82 \xe0\xa4\x95\xe0\xa5\x80 \xe0\xa4\xad\xe0\xa5\x82\xe0\xa4\xae\xe0\xa4\xbf\xe0\xa4\x95\xe0\xa4\xbe\xe0\xa5\xa4\n#PBD2019 \xe0\xa4\x95\xe0\xa5\x87 \xe0\xa4\x89\xe0\xa4\xa6\xe0\xa5\x8d\xe0\xa4\x98\xe0\xa4\xbe\xe0\xa4\x9f\xe0\xa4\xa8 \xe0\xa4\xb8\xe0\xa4\xae\xe0\xa4\xbe\xe0\xa5\x8b\xe0\xa4\xb9 \xe0\xa4\x95\xe0\xa5\x80 \xe0\xa4\x8f\xe0\xa4\x95 \xe0\xa4\x9d\xe0\xa4\xb2\xe0\xa4\x95\n\n#PravasiBharatiyaDivas #PravasiA\xe2\x80\xa6'
makeinindia,1.08761051411126E+018,2019-01-22 07:18:48,"b""RT @PBDConvention: One with the young minds!\nPM @narendramodi &amp; EAM @SushmaSwaraj with the winners of 'Bharat Ko Janiye Quiz', organised by\xe2\x80\xa6"""
makeinindia,1.08761046498764E+018,2019-01-22 07:18:36,"b'RT @MEAIndia: Distinguished #PravasiAtVaranasi !\n\nPrime Minister of Mauritius Pravind Jugnauth, Chief Guest at #PBD2019 commended India\xe2\x80\x99s e\xe2\x80\xa6'"
makeinindia,1.08761045510165E+018,2019-01-22 07:18:33,"b'RT @PBDConvention: Engaging the audience with his address, PM @narendramodi at the Inauguration of the 15th #PravasiBharatiyaDivas in Varan\xe2\x80\xa6'"
makeinindia,1.08761041528091E+018,2019-01-22 07:18:24,b'RT @PBDConvention: Inauguration of 15th Pravasi Bhartiya Divas Convention 2019 https://t.co/sHHQDvLgEx'
makeinindia,1.08731911187554E+018,2019-01-21 12:00:52,b'The Corporate tax rate has been lowered from 30% to 25% for smaller companies with a yearly turnover of less than 2\xe2\x80\xa6 https://t.co/40PQTmZqku'
makeinindia,1.08731889385148E+018,2019-01-21 12:00:00,b'The government has developed and designed Electronic Manufacturing Clusters(EMC) for providing facilities and suppo\xe2\x80\xa6 https://t.co/lroRaBQz7e'
makeinindia,1.08731863010526E+018,2019-01-21 11:58:57,b'The government has formulated National Policy on Electronics with the vision of increasing exports in the Electroni\xe2\x80\xa6 https://t.co/Yw3p6RAkvZ'
makeinindia,1.08731833764064E+018,2019-01-21 11:57:47,b'100% Foreign Direct Investment (FDI) is allowed under the automatic route in the  Electronic System Design &amp
makeinindia,1.08731810656804E+018,2019-01-21 11:56:52,"b'In a five year span, beginning 2014-15, MNRE (Ministry of New and Renewable Energy) is targeting the development of\xe2\x80\xa6 https://t.co/6iy5N6sNqL'"
makeinindia,1.08731775160415E+018,2019-01-21 11:55:28,b'The automobile &amp
makeinindia,1.08731759122641E+018,2019-01-21 11:54:49,b'The production of LED (Light Emitting Diode) has increased from USD 334 Mn in 2014-15 to USD 1.44 Bn  in 2017-18\xe2\x80\xa6 https://t.co/EjJVRrKnpI'
makeinindia,1.08725962642743E+018,2019-01-21 08:04:29,"b'RT @JpShivahare: Mr Guangda Xiang, Founder and Chairman, Tsingshan industry, China visited the #DholeraSIR site today to see the developmen\xe2\x80\xa6'"
makeinindia,1.08725961678053E+018,2019-01-21 08:04:27,b'RT @DIPPGOI: The #MakeinIndia seminar will also touch upon recent success in improvement in #EODB. India jumped 65 places in last 4 yrs to\xe2\x80\xa6'
makeinindia,1.08725960715042E+018,2019-01-21 08:04:25,"b'RT @makeinindia: Mr. Matthew Griswold Bevin, The Governor of Kentucky, gifting his pin to Shri Ramesh Abhishek. Its a token of appreciation\xe2\x80\xa6'"
makeinindia,1.08725959593069E+018,2019-01-21 08:04:22,"b""RT @makeinindia: Shri Ramesh Abhishek, Secy., @DIPPGOI at the @VibrantGujarat summit 'There were many gaps in the system - in infrastructur\xe2\x80\xa6"""
makeinindia,1.08725959116173E+018,2019-01-21 08:04:21,"b'RT @makeinindia: Shri Ramesh Abhishek- Secretary, @DIPPGOI meeting with the USIBC delegation led by Mr. Matthew Griswold Bevin, to discuss\xe2\x80\xa6'"
makeinindia,1.08725942248366E+018,2019-01-21 08:03:41,"b'RT @akhiljhansi: @SaritasinghET @OfficeOfRKSingh Great initiative by MoP under guidelines of DIPP, this will further boost the \xe2\x80\x9cMake in Ind\xe2\x80\xa6'"
makeinindia,1.08725941299187E+018,2019-01-21 08:03:39,"b'RT @JpShivahare: Chromeni steels to invest US$ 3 Billion in #DholeraSIR to manufacture Stainless Steel and EV Batteries - Guangda Xiang, Ch\xe2\x80\xa6'"
makeinindia,1.08622440645044E+018,2019-01-18 11:30:54,"b'Mr. Matthew Griswold Bevin, The Governor of Kentucky, gifting his pin to Shri Ramesh Abhishek. Its a token of appre\xe2\x80\xa6 https://t.co/6c3IYQbSRU'"
makeinindia,1.08622283218143E+018,2019-01-18 11:24:38,"b'Shri Ramesh Abhishek- Secretary, @DIPPGOI meeting with the USIBC delegation led by Mr. Matthew Griswold Bevin, to d\xe2\x80\xa6 https://t.co/Lhe2ERfliK'"
makeinindia,1.08622193791385E+018,2019-01-18 11:21:05,b'Mr. Amitabh Kant- CEO @NITIAayog making the keynote address at the Industrial Corridors and Industry 4.0 session. H\xe2\x80\xa6 https://t.co/k7L4zXoLyP'
makeinindia,1.08621587415398E+018,2019-01-18 10:56:59,"b""RT @investindia: John Chambers, USISPF: 'The Indian government has become extremely responsive- and that is helping investors tremendously.\xe2\x80\xa6"""
makeinindia,1.08621553594208E+018,2019-01-18 10:55:39,"b'Mr Alkesh Kumar Sharma, MD &amp; CEO, DMIDC presented the infrastructure development and integrated infrastructure pack\xe2\x80\xa6 https://t.co/YqN4Onvb0w'"
makeinindia,1.08621491200589E+018,2019-01-18 10:53:10,"b'Mr Deepak Bagla, MD &amp; CEO, @investindia presenting the India Investment Grid at the Vibrant Gujarat Seminar on\xe2\x80\xa6 https://t.co/mSlYz4V8qH'"
makeinindia,1.08621422478588E+018,2019-01-18 10:50:26,"b'Shri Ramesh Abhishek, Secretary, @DIPPGOI meeting with NLMK, Russian Steel Manufacturer to discuss their India plan\xe2\x80\xa6 https://t.co/OCMYaVWWYC'"
makeinindia,1.08621391175246E+018,2019-01-18 10:49:12,"b'H.E. Jakob Ellemann-Jensen, Minister for Environment &amp; Food , Denmark : Danish govt. is convinced of importance of\xe2\x80\xa6 https://t.co/FY2wln8ozm'"
makeinindia,1.08620514573665E+018,2019-01-18 10:14:22,"b""Shri Ramesh Abhishek, Secy. @DIPPGOI at the @VibrantGujarat Global Summit: 'We have to do a number of things to imp\xe2\x80\xa6 https://t.co/ZKwhtVse3z"""
makeinindia,1.0862029672235E+018,2019-01-18 10:05:42,"b""Mr. Amitabh Kant, CEO, @NITIAayog at the @VibrantGujarat Denmark Country seminar:  'India's challenge is to make 2.\xe2\x80\xa6 https://t.co/2eufgzNYXr"""
makeinindia,1.08620175156319E+018,2019-01-18 10:00:52,"b""RT @startupindia: An integrated Startup complex in Kerala being launched in the presence of Hon'ble CM @vijayanpinarayi. The complex is tou\xe2\x80\xa6"""
makeinindia,1.08620173671533E+018,2019-01-18 10:00:49,"b'RT @DIPPGOI: (1/9): After intense deliberation, the government has issued a notification to ease availment of #angeltax exemption. Refer to\xe2\x80\xa6'"
makeinindia,1.08620172443024E+018,2019-01-18 10:00:46,b'RT @DIPPGOI: (2/9): Neither the Inter-ministerial board certificate nor a merchant banker certificate is required for #Angeltax exemption.\xe2\x80\xa6'
makeinindia,1.08620170975434E+018,2019-01-18 10:00:42,"b'RT @DIPPGOI: (3/9): For the Startup to be eligible for #AngelTax Exemption, the aggregate amount of paid up share capital and share premium\xe2\x80\xa6'"
makeinindia,1.08620169543921E+018,2019-01-18 10:00:39,"b'RT @DIPPGOI: (4/9):For the Investor to be eligible for #AngelTax Exemption, she/he should have filed Income tax returns of alteast INR 50 L\xe2\x80\xa6'"
makeinindia,1.08620168419849E+018,2019-01-18 10:00:36,"b'RT @DIPPGOI: (5/9): Additionally, the investor\xe2\x80\x99s net worth should exceed INR 2 Crores or the amount of investment proposed in the Startup,\xe2\x80\xa6'"
makeinindia,1.08620167000497E+018,2019-01-18 10:00:33,"b'RT @DIPPGOI: (6/9): To further the ease of application, Startups are not required to submit investor income and net worth details. Keeping\xe2\x80\xa6'"
makeinindia,1.08620165459089E+018,2019-01-18 10:00:29,"b'RT @DIPPGOI: (8/9): To ensure quick processing of #AngelTax exemption application, CBDT will evaluate and respond within 45 days of receivi\xe2\x80\xa6'"
makeinindia,1.08620163944522E+018,2019-01-18 10:00:26,"b'RT @DIPPGOI: (9/9): The scope of the #Angeltax exemption extends to all past and future investments, and applies for startups incorporated\xe2\x80\xa6'"
makeinindia,1.0862016243961E+018,2019-01-18 10:00:22,b'RT @startupindia: We\xe2\x80\x99ve completed 3 years since the Startup India movement started &amp
makeinindia,1.08620159802647E+018,2019-01-18 10:00:16,"b'RT @startupindia: Fostering the Startup Ecosystem requires ease of doing business, and this has been central to most of our regulatory refo\xe2\x80\xa6'"
makeinindia,1.08620158564069E+018,2019-01-18 10:00:13,b'RT @startupindia: State involvement is imperative to drive the Startup movement at the grassroot! 20 States have launched their Startup Pol\xe2\x80\xa6'
makeinindia,1.08620157023925E+018,2019-01-18 10:00:09,b'RT @DIPPGOI: (1/2): India\xe2\x80\x99s entrepreneurs encouraged: Trademark registrations in the country take a hike by 20% in FY 2017-18 vs. FY 2016-1\xe2\x80\xa6'
makeinindia,1.08620155081545E+018,2019-01-18 10:00:05,b'RT @DIPPGOI: (3:3): Speedy application disposal now trending at IP Offices: Disposal of patent applications increased by 58% in FY 2017-18\xe2\x80\xa6'
makeinindia,1.08620153557331E+018,2019-01-18 10:00:01,b'RT @DIPPGOI: (2/2): Rapid trademark applications disposal at IP offices: Disposal increased by 91% in FY 2017-18 compared to FY 2016-17. #L\xe2\x80\xa6'
makeinindia,1.08620151600694E+018,2019-01-18 09:59:56,"b""RT @iiccdwarka: Mr. Lim,President @kintex_korea (Operator, IICC) spoke on #IICCDwarka project &amp; Hon'ble Prime Minister's proclamation of In\xe2\x80\xa6"""
makeinindia,1.08620144861698E+018,2019-01-18 09:59:40,"b'RT @IndiainROK: Mr Chang Yeul Lim, president and CEO of @kintex_korea speaking about progress of @iiccdwarka project at Asia Excon Forum in\xe2\x80\xa6'"
makeinindia,1.08620123842782E+018,2019-01-18 09:58:50,b'RT @CMOGuj: Gujarat CM Shri @vijayrupanibjp welcoming the galaxy of national and international dignitaries and delegates to the 9th #Vibran\xe2\x80\xa6'
makeinindia,1.08620079986309E+018,2019-01-18 09:57:05,"b'Shri Ramesh Abhishek, Secy. @DIPPGOI at the @VibrantGujarat summit: We are very clear that our policies should be p\xe2\x80\xa6 https://t.co/MPid812wt8'"
makeinindia,1.08620041492656E+018,2019-01-18 09:55:34,"b""Shri Ramesh Abhishek, Secy., @DIPPGOI at the @VibrantGujarat summit 'There were many gaps in the system - in infras\xe2\x80\xa6 https://t.co/7zuUZ8XObA"""
makeinindia,1.08619861622445E+018,2019-01-18 09:48:25,"b""Hon'ble PM Shri Narendra Modi invited the business community to visit @VibrantGujarat Global Trade Show - a remarka\xe2\x80\xa6 https://t.co/aDDoNLhhIv"""
makeinindia,1.08619766912548E+018,2019-01-18 09:44:39,"b""Hon'ble PM, Shri Narendra Modi at the @VibrantGujarat summit:  '8 Indian states have come forward to make use of th\xe2\x80\xa6 https://t.co/lvlbAKn0NO"""
makeinindia,1.08619603953768E+018,2019-01-18 09:38:11,"b'Hon\'ble PM, Shri Narendra Modi at the @VibrantGujarat summit: ""We have also made Doing Business Faster through digi\xe2\x80\xa6 https://t.co/dafR7B2gGv'"
makeinindia,1.08619547544576E+018,2019-01-18 09:35:56,"b""Hon'ble PM, Shri Narendra Modi at the @VibrantGujarat summit: 'We have made Doing Business cheaper. The implementat\xe2\x80\xa6 https://t.co/05H2quoUQN"""
makeinindia,1.08619500156491E+018,2019-01-18 09:34:03,"b""The Vibrant Gujarat panel discussion on 'Make in India, and EoDB achievements' commences  with an address by Shri R\xe2\x80\xa6 https://t.co/YJ6E1bJhgy"""
makeinindia,1.08619474824992E+018,2019-01-18 09:33:03,"b""Hon'ble PM, Shri Narendra Modi at the @VibrantGujarat summit: 'Vibrant Gujarat has become a truly global event. It\xe2\x80\xa6 https://t.co/rFFZ9O5yAQ"""
makeinindia,1.08616075516939E+018,2019-01-18 07:17:58,"b""RT @investindia: John Chambers, USISPF- 'Half of the 1.2 mn jobs created per month will be from startups, and India's startup economy will\xe2\x80\xa6"""
makeinindia,1.08616074611385E+018,2019-01-18 07:17:56,"b""RT @investindia: Mukesh Ambani, Chairman- Reliance Industries Ltd: 'Gujarat is Reliance 's janmabhoomi and karmabhoomi. We believe in India\xe2\x80\xa6"""
makeinindia,1.08616073832921E+018,2019-01-18 07:17:54,"b""RT @investindia: David Farr, Chairman- Emerson Electric: 'We believe in India's future. The country is an important strategic market for us\xe2\x80\xa6"""
makeinindia,1.0861607311276E+018,2019-01-18 07:17:52,"b""RT @investindia: Mukesh Ambani, Chairman- Reliance Industries Ltd: 'Jio is committed to make Gujarat the best digitally connected state in\xe2\x80\xa6"""
makeinindia,1.086160721552E+018,2019-01-18 07:17:50,"b""RT @investindia: Jin Liqun, President- Asian Infrastructure Investment Bank- 'India is a key strategic partner and the 2nd largest sharehol\xe2\x80\xa6"""
makeinindia,1.08616071621691E+018,2019-01-18 07:17:49,"b'RT @investindia: Menno Snel, Minister of Finance for Taxation &amp; Customs, The Netherlands: We are the 4th largest investor in India, host to\xe2\x80\xa6'"
makeinindia,1.086151393961E+018,2019-01-18 06:40:46,b'RT @investindia: The 9th edition of the Vibrant Gujarat Summit has started and over the years it has become a platform for conceptualisatio\xe2\x80\xa6'
makeinindia,1.08615138666708E+018,2019-01-18 06:40:44,"b""RT @investindia: The inaugural session of #VG2019 begins with a showcase of Gujarat's achievements.\n\n@CMOGuj : Gujarat is the preferred des\xe2\x80\xa6"""
makeinindia,1.08615137894956E+018,2019-01-18 06:40:43,b'RT @investindia: Several international leaders have shown their support with their presence and are actively exploring collaborations with\xe2\x80\xa6'
makeinindia,1.08615137108523E+018,2019-01-18 06:40:41,b'RT @investindia: .@DIPPGOI &amp
makeinindia,1.08615136123708E+018,2019-01-18 06:40:38,"b'RT @investindia: Didier Casimiro, Rosneft : @VibrantGujarat has graduated from an investment promotion event to a forum to forge strong rel\xe2\x80\xa6'"
makeinindia,1.08615135341047E+018,2019-01-18 06:40:37,"b'RT @investindia: Soren Skou, CEO, AP Moller Maesrk: India is a key market for our global business, as a fast growing centre of demand for t\xe2\x80\xa6'"
makeinindia,1.08615133717436E+018,2019-01-18 06:40:33,"b'RT @investindia: Kumar Mangalam Birla, Chairman, Birla Group: ""Gujarat today accounts for  17% of industrial output and continues to be a m\xe2\x80\xa6'"
makeinindia,1.08615132840405E+018,2019-01-18 06:40:31,"b""RT @investindia: David Farr, Chairman- Emerson Electric: 'The future of the country is in innovation and growth in the export of goods. We\xe2\x80\xa6"""
makeinindia,1.08615132151702E+018,2019-01-18 06:40:29,"b""RT @investindia: John Chambers, USISPF: 'Confidence in India is the strongest in 40 years. India has grown, and the country's startup econo\xe2\x80\xa6"""
makeinindia,1.08551661922746E+018,2019-01-16 12:38:24,b'RT @VibrantGujarat: Speakers will talk about how the @makeinindia program enabled the inflow of significant new investments in Indian manuf\xe2\x80\xa6'
makeinindia,1.08545131327674E+018,2019-01-16 08:18:54,"b'Presently, the PMP has been implemented on Basic Customs Duty (BCD) based differential duty in favor of domestic ma\xe2\x80\xa6 https://t.co/9lwpfiiSJj'"
makeinindia,1.08545106681519E+018,2019-01-16 08:17:55,b'The scheme is also supporting 128 young faculty to encourage &amp
makeinindia,1.0854506840808E+018,2019-01-16 08:16:24,"b'Under the India BPO Promotion scheme \n48,300 seats have been  approved including over 5,000 seats for BPOs in North\xe2\x80\xa6 https://t.co/8A7csWBzpN'"
makeinindia,1.08474061918717E+018,2019-01-14 09:14:51,b'The project aims to fund a portfolio of Indian led pilot Projects that target innovations in multi-disciplinary are\xe2\x80\xa6 https://t.co/Bae1GmHi9J'
makeinindia,1.08474038077874E+018,2019-01-14 09:13:54,b'Industry Innovation Program on Medical Electronics aims to promote scientific &amp
makeinindia,1.08474013924136E+018,2019-01-14 09:12:57,b'Envisioning a digitally strong India -- \nunder the Digital Saksharta Abhiyan (DISHA) and National Digital Literacy\xe2\x80\xa6 https://t.co/Axpfxp5oTE'
makeinindia,1.08473998023534E+018,2019-01-14 09:12:19,"b'Powering up development -- in the 2017-18 budget, INR 745 Cr has been allocated for M-SIPS and EDF #NewIndia\xe2\x80\xa6 https://t.co/g8RxCH4Y3A'"
makeinindia,1.08473981047503E+018,2019-01-14 09:11:38,b'The SPIEIT scheme provides financial support to a maximum of INR 15 Lakhs per patent to Indian MSMEs and startups t\xe2\x80\xa6 https://t.co/vTJDPDvWzK'
makeinindia,1.08443425407812E+018,2019-01-13 12:57:28,b'Participation between India and other countries to foster relationships on both bilateral and multilateral basis. A\xe2\x80\xa6 https://t.co/9XrwGUhEIZ'
makeinindia,1.08442303322853E+018,2019-01-13 12:12:53,b'Ukraine is the leader in agricultural and food industries. We have shared samples with Indian farmers and industria\xe2\x80\xa6 https://t.co/V2DQ7wBHSs'
makeinindia,1.0844228738702E+018,2019-01-13 12:12:15,"b'I am very impressed by the highly professional organisation of the 25th Partnership Summit, #CIIPS2019. India has g\xe2\x80\xa6 https://t.co/q7u6OP5ayQ'"
makeinindia,1.08442254072498E+018,2019-01-13 12:10:55,"b'Special Address by HE Stepan Kubiv, Hon\xe2\x80\x99ble First Vice PM and Minister, @mineconomdev, Ukraine at #CIIPS2019 Valedi\xe2\x80\xa6 https://t.co/Oo1BWNiDuP'"
makeinindia,1.08442220152322E+018,2019-01-13 12:09:35,"b'Shri Ramesh Abhishek, Secy., @DIPPGOI addressing the #CIIPS2019 Valedictory Session - India: The New Global Economi\xe2\x80\xa6 https://t.co/NEZaStQXuX'"
makeinindia,1.08441586897143E+018,2019-01-13 11:44:25,"b'Mr Rakesh Bharti Mittal, President, Confederation of Indian Industry and Vice Chairman, Bharti Enterprises addressi\xe2\x80\xa6 https://t.co/uaKofSjcsv'"
